t_years,df,zero_rate_cc
0.002777777777777778,0.99985279944897,0.052996098993992345
0.019444444444444445,0.9989743862967353,0.052772914536912456
0.08333333333333333,0.995652318210481,0.05228592529690735
0.25,0.9872886585215352,0.051171287195009095
0.5,0.9753718605218239,0.049872970580063264
0.75,0.9639947944281101,0.048892512476015317
1.0,0.9521189937160147,0.049065258602620655
2.0,0.9071954149237699,0.04869870005889751
3.0,0.8650152368214571,0.04833605246096772
4.0,0.8253851804398571,0.04797627905571965
5.0,0.7881299800950722,0.0476184506735358
6.0,0.7530900922814734,0.047261735645827245
7.0,0.7201197685460701,0.04690539080042716
8.0,0.6890854278159195,0.04654875344157142
9.0,0.6598642756811962,0.046191234224038466
10.0,0.6323431278514587,0.045832310834949166
11.0,0.6064174028621718,0.045471522401312255
12.0,0.5819902554779774,0.04510846454632123
13.0,0.5589718274090089,0.04474278502246498
14.0,0.5372785961587402,0.044374179854537135
15.0,0.5168328062420661,0.04400238993052842
16.0,0.4975619697994269,0.04362719798311464
17.0,0.4793984259068537,0.04324842590895861
18.0,0.46227894973922296,0.042865932377349134
19.0,0.44614440426293994,0.04247961068379091
20.0,0.43093942837782423,0.04208938680805681
21.0,0.416612156447162,0.041695217639951716
22.0,0.4031139649913825,0.04129708933961606
23.0,0.3903992430081141,0.04089501580266003
24.0,0.3784251829469596,0.04048903720377139
25.0,0.36715158983349355,0.04007921859569431
26.0,0.3565407064217187,0.0396656485436575
27.0,0.3465570525725379,0.03924843777841277
28.0,0.3371672773194986,0.038827717854056844
29.0,0.3283400223021834,0.0384036397997143
30.0,0.3200457954300543,0.03797637275696024
